!#This contains the mission control text from Helldivers 2, the third column is the desired text that should be spoken
DEF: 3 #Do not delete! This indicates in which column the real text is
!#1959831931863646377  | ETA t minus one minute thirty seconds. | E.T.A. , T minus one minute and thirty seconds.
!#17150082192457125076 | ETA t minus one minute thirty seconds. | E.T.A. , T minus one minute and thirty seconds.
!#8417487540177886542  | ETA t minus one minute thirty seconds. | E.T.A. , T minus one minute and thirty seconds.
!#13396900801380329608 | ETA t minus one minute and thirty seconds. | E.T.A. , T minus one minute and thirty seconds.
!#16098266908260492826 | ETA t minus one minute and thirty seconds. | E.T.A. , T minus one minute and thirty seconds.
!#1511328293845077591  | ETA t minus two minutes. | E.T.A. , T minus two minutes.
!#16394047289999207544 | ETA t minus two minutes. | E.T.A. , T minus two minutes.
!#4391199744574289272  | ETA t minus two minutes. | E.T.A. , T minus two minutes.
!#9309241059690695213  | ETA t minus two minutes. | E.T.A. , T minus two minutes.
!#10990876319261387495 | ETA t minus two minutes. | E.T.A. , T minus two minutes.
!#8145102846782055188 | ETA t minus two minutes thirty seconds. | E.T.A. , T minus two minutes and thirty seconds.
!#2671810445518974237 | ETA t minus two minutes thirty seconds. | E.T.A. , T minus two minutes and thirty seconds.
!#9289366013504211400 | ETA t minus two minutes thirty seconds. | E.T.A. , T minus two minutes and thirty seconds.
!#6987992186715612154 | ETA t minus two minutes thirty seconds. | E.T.A. , T minus two minutes and thirty seconds.
!#8354425741665922432 | ETA t minus two minutes and thirty seconds.| E.T.A. , T minus two minutes and thirty seconds.
!#11004301720845378791 | ETA t minus three minutes. | E.T.A. , T minus three minutes.
!#10693324590368443406 | ETA t minus three minutes. | E.T.A. , T minus three minutes.
!#13250149665564504235 | ETA t minus three minutes. | E.T.A. , T minus three minutes.
!#18084780808265229923 | ETA t minus three minutes. | E.T.A. , T minus three minutes.
!#894064927266588753   | ETA t minus three minutes. | E.T.A. , T minus three minutes.
!#6282672871327750046  | Extraction request confirmed, shuttle inbound.| Pilot, extraction request confirmed, shuttle inbound.
!#7072762613058805663 | Extraction request confirmed, shuttle inbound. | Extraction request confirmed, shuttle approaching.
!#3203129633910584503 | Extraction request confirmed, shuttle inbound. | Extraction request confirmed, shuttle inbound.
!#10657236549433879373 | Extraction is available.| Extraction is available.
!#3269286824405037678  | Extraction is available.| Extraction is available, pilot.
!#14508727953174643142 | Extraction is available.| Pilot, extraction is available.
!#15490591499197131449 | Extraction shuttle inbound.| Pilot, extraction shuttle inbound.
!#11325387380608861973 | Extraction shuttle inbound.| Extraction shuttle inbound.
!#14247073844853740127 | Extraction shuttle inbound.| Extraction shuttle, on its way.
!#515967877954047352   | Extraction shuttle inbound. | Pilot, extraction shuttle inbound.
!#3807530800886154602  | Mission at forty minutes remaining. | (UNUSED?)Forty minutes left in the mission.
!#11742612393737367864 | Mission at forty minutes remaining. | (UNUSED?)Pilot, forty minutes left in the mission.
!#13734560345764944917 | Mission at forty minutes remaining. | (UNUSED?)Forty minutes left in the mission pilot. Proceed with caution.
!#1088832948333467333  | Mission at thirty minutes remaining. | Pilot, thirty minutes left in the mission. 
!#1373878018156199634  | Mission at thirty minutes remaining. | Thirty minutes left in the mission.
!#17195039522425680045 | Mission at thirty minutes remaining. | Thirty minutes left in the mission pilot.
!#12832196249566198088 | Mission at twenty minutes remaining. | Twenty minutes left in the mission.
!#12101179535993875832 | Mission at twenty minutes remaining. | Warning, twenty minutes left in the mission. 
!#11173429135416763172 | Mission at twenty minutes remaining. | Pilot, twenty minutes left in the mission.
!#18303098111892124137 | Mission at ten minutes remaining. | Warning, ten minutes left in the mission. 
!#15525659436566671506 | Mission at ten minutes remaining. | Pilot, ten minutes left in the mission. 
!#3863841820321083431  | Mission at ten minutes remaining. | Warning, ten minutes left in the mission. Move quickly pilot. 
!#5318118046541883680  | Five minutes left, we can't stay this low much longer helldiver. | Five minutes left. Pilot, mission window closing.
!#14888117787277111625 | Five minutes left, we can't stay this low much longer helldiver. | Five minutes left, Pilot.
!#3219632965172067738  | Five minutes left, liberty speed your step helldiver. | Five minutes left. Move quickly pilot.
!#12223431440484055965 | Five minutes left, liberty speed your step helldiver. | Pilot, you have five minutes left. Move quickly.
!#14951716614825239752 | Five minutes remaining, I repeat, five minutes remaining.| Five minutes remaining. I repeat, five minutes remaining, pilot.
!#515522398065316554   | Five minutes remaining, I repeat, five minutes remaining.| Pilot, there are five minutes left. I repeat, five minutes left.
!#17760148675234415650 | One minute left, destroyed preparing to leave. | One minute left, destroyer preparing to leave.
!#16602356745902669407| One minute left, destroyer preparing to leave.| One minute left, destroyer preparing to leave orbit.
!#9646417128221151412 | One minute left, destroyer preparing to leave.| One minute left, destroyer preparing to leave.
!#3609561096111968182  | One minute remains, destroyer departure imminent.| One minute left. Destroyer departure imminent.
!#2623263438391619594  | One minute remains, destroyer departure imminent.| Warning, one minute left. Destroyer departure imminent.
!#11518868320404371546 | One minute remains, destroyer departure imminent.| One minute left. Pilot, destroyer departure imminent.
!#16883884648021895708 | Superdestroyer leaving low orbit, emergency extraction shuttle deployed.| Superdestroyer, leaving orbit. Emergency extraction shuttle, deployed.
!#17543709165033604500 | Superdestroyer leaving low orbit, emergency extraction shuttle deployed.| Superdestroyer, exiting orbit. Emergency shuttle, deployed.
!#8864454300387680882  | Superdestroyer leaving low orbit, emergency extraction shuttle deployed.| Superdestroyer, leaving orbit. Emergency shuttle, deployed.
!#10851734483574268242 | Target confirmed. Destroyed. | Target confirmed! Eliminated.
!#3524948941085634331  | Target confirmed. Destroyed. | Target confirmed. Good shooting.
!#6615025310941444561  | Target confirmed. Destroyed. | Target confirmed. Eliminated.
!#4240045888570226575 | Targets confirmed. Destroyed. | Targets confirmed. Good shooting, pilot.
!#11452674190870776415| Targets confirmed. Destroyed. | Targets confirmed. Good shooting.
!#17606294429396458654| Targets confirmed. Destroyed. | Targets confirmed. Well done.
